Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,componentnumber,strongcompnum,pageranks,clustering,eigencentrality,modularity_class
550,,,2,1,3,2,1,3,1,1,1,0,0,0.000002,0,186,0.000164,0.333333,0.001434,125
551,,,7,1,8,7,1,8,1,1,1,33,0.000024,0.000004,0,188,0.00041,0.089286,0.033356,92
365,,,4,0,4,4,0,4,0,0,0,0,0.000052,0,0,187,0.001056,0,0.028813,83
552,,,4,1,5,4,1,5,1,1,1,13.9,0.000155,0.000166,0,190,0.000367,0.05,0.026151,54
630,,,5,0,5,5,0,5,0,0,0,0,0.002441,0,0,189,0.000637,0.05,0.043488,54
559,,,2,1,3,2,1,3,1,1,1,5,0.000001,0.000002,0,191,0.000315,0,0.002052,118
563,,,10,2,12,10,2,12,3,0.555556,0.666667,68.833333,0.000074,0.000006,0,193,0.00063,0.05303,0.01486,136
159,,,6,0,6,6,0,6,0,0,0,0,0.000059,0,0,192,0.00062,0.1,0.025653,92
564,,,2,3,5,2,3,5,2,0.8,0.875,28,0,0.000003,0,194,0.00066,0.3,0.003761,136
570,,,0,1,1,0,1,1,1,1,1,0,0,0,0,196,0.000128,0,0,136
272,,,4,0,4,4,0,4,0,0,0,0,0.000002,0,0,195,0.000298,0,0.001503,136
575,,,3,1,4,3,1,4,1,1,1,1,0.0021,0.000143,0,198,0.000264,0.166667,0.002807,125
237,,,4,0,4,4,0,4,0,0,0,0,0.002103,0,0,197,0.000507,0.166667,0.00536,125
577,,,4,3,7,4,3,7,3,0.625,0.766667,73.166667,0.00011,0.00001,0,200,0.000344,0.166667,0.011372,136
145,,,5,0,5,5,0,5,0,0,0,0,0.000112,0,0,199,0.000448,0.05,0.00961,136
590,,,2,1,3,2,1,3,1,1,1,2,0,0,0,202,0.000261,0,0.001185,84
93,,,5,0,5,5,0,5,0,0,0,0,0,0,0,201,0.000694,0.15,0.015512,84
592,,,9,1,10,9,1,10,1,1,1,10.333333,0.000003,0,0,203,0.002276,0.097222,0.019136,83
594,,,4,1,5,4,1,5,1,1,1,0.5,0,0,0,203,0.002197,0.25,0.017859,83
596,,,5,1,6,5,1,6,2,0.6,0.666667,9,0.000196,0.000006,0,204,0.000433,0.2,0.03625,16
602,,,2,2,4,2,2,4,1,1,1,0.5,0,0,2,205,0.000219,0.416667,0.000752,33
